road,point
Eastern distributor northbound,"-33.91176,151.21283"
Eastern distributor northbound,"-33.91118,151.2129"
Eastern distributor northbound,"-33.91077,151.21294"
Eastern distributor northbound,"-33.91005,151.21297"
Eastern distributor northbound,"-33.90965,151.213"
Eastern distributor northbound,"-33.90933,151.21305"
Eastern distributor northbound,"-33.90853,151.21319"
Eastern distributor northbound,"-33.90753,151.2134"
Eastern distributor northbound,"-33.90729,151.21346"
Eastern distributor northbound,"-33.90592,151.21373"
Eastern distributor northbound,"-33.90566,151.21377"
Eastern distributor northbound,"-33.90533,151.21381"
Eastern distributor northbound,"-33.90504,151.21387"
Eastern distributor northbound,"-33.9048,151.21393"
Eastern distributor northbound,"-33.90463,151.21398"
Eastern distributor northbound,"-33.90411,151.21413"
Eastern distributor northbound,"-33.90396,151.21419"
Eastern distributor northbound,"-33.90389,151.2142"
Eastern distributor northbound,"-33.90381,151.21422"
Eastern distributor northbound,"-33.90373,151.21425"
Eastern distributor northbound,"-33.9032,151.21439"
Eastern distributor northbound,"-33.90156,151.21484"
Eastern distributor northbound,"-33.90095,151.21499"
Eastern distributor northbound,"-33.90087,151.21501"
Eastern distributor northbound,"-33.90064,151.21506"
Eastern distributor northbound,"-33.89945,151.21531"
Eastern distributor northbound,"-33.89918,151.21536"
Eastern distributor northbound,"-33.89764,151.21565"
Eastern distributor northbound,"-33.89716,151.21575"
Eastern distributor northbound,"-33.89688,151.21582"
Eastern distributor northbound,"-33.89638,151.21594"
Eastern distributor northbound,"-33.89628,151.21596"
Eastern distributor northbound,"-33.89586,151.21606"
Eastern distributor northbound,"-33.89557,151.21614"
Eastern distributor northbound,"-33.89525,151.21621"
Eastern distributor northbound,"-33.89442,151.21638"
Eastern distributor northbound,"-33.89386,151.21648"
Eastern distributor northbound,"-33.89381,151.21649"
Eastern distributor northbound,"-33.89321,151.2166"
Eastern distributor northbound,"-33.89227,151.21674"
Eastern distributor northbound,"-33.89209,151.21678"
Eastern distributor northbound,"-33.89196,151.21681"
Eastern distributor northbound,"-33.89189,151.21683"
Eastern distributor northbound,"-33.89052,151.2172"
Eastern distributor northbound,"-33.89042,151.21722"
Eastern distributor northbound,"-33.88991,151.21733"
Eastern distributor northbound,"-33.88917,151.21752"
Eastern distributor northbound,"-33.8886,151.21763"
Eastern distributor northbound,"-33.88805,151.21772"
Eastern distributor northbound,"-33.8873,151.21786"
Eastern distributor northbound,"-33.88674,151.21794"
Eastern distributor northbound,"-33.88664,151.21796"
Eastern distributor northbound,"-33.88617,151.21798"
Eastern distributor northbound,"-33.88583,151.21797"
Eastern distributor northbound,"-33.88568,151.21795"
Eastern distributor northbound,"-33.88554,151.21793"
Eastern distributor northbound,"-33.88534,151.21788"
Eastern distributor northbound,"-33.88483,151.21771"
Eastern distributor northbound,"-33.88442,151.21756"
Eastern distributor northbound,"-33.88421,151.21749"
Eastern distributor northbound,"-33.88396,151.21743"
Eastern distributor northbound,"-33.88343,151.21732"
Eastern distributor northbound,"-33.88321,151.21726"
Eastern distributor northbound,"-33.88284,151.2172"
Eastern distributor northbound,"-33.88274,151.21718"
Eastern distributor northbound,"-33.8826,151.21715"
Eastern distributor northbound,"-33.88239,151.2171"
Eastern distributor northbound,"-33.88187,151.21702"
Eastern distributor northbound,"-33.88184,151.21702"
Eastern distributor northbound,"-33.88144,151.21698"
Eastern distributor northbound,"-33.88138,151.21698"
Eastern distributor northbound,"-33.88109,151.21696"
Eastern distributor northbound,"-33.88069,151.21693"
Eastern distributor northbound,"-33.88058,151.21692"
Eastern distributor northbound,"-33.88026,151.21691"
Eastern distributor northbound,"-33.88005,151.21691"
Eastern distributor northbound,"-33.87979,151.21691"
Eastern distributor northbound,"-33.8796,151.21692"
Eastern distributor northbound,"-33.87935,151.21695"
Eastern distributor northbound,"-33.87867,151.21707"
Eastern distributor northbound,"-33.87799,151.21716"
Eastern distributor northbound,"-33.87764,151.2172"
Eastern distributor northbound,"-33.87648,151.21735"
Eastern distributor northbound,"-33.8761,151.21739"
Eastern distributor northbound,"-33.87574,151.21744"
Eastern distributor northbound,"-33.87487,151.21754"
Eastern distributor northbound,"-33.87473,151.21756"
Eastern distributor northbound,"-33.87468,151.21756"
Eastern distributor northbound,"-33.87463,151.21756"
Eastern distributor northbound,"-33.87457,151.21757"
Eastern distributor northbound,"-33.87452,151.21758"
Eastern distributor northbound,"-33.87447,151.21759"
Eastern distributor northbound,"-33.87441,151.2176"
Eastern distributor northbound,"-33.87411,151.21762"
Eastern distributor northbound,"-33.87399,151.21763"
Eastern distributor northbound,"-33.87383,151.21764"
Eastern distributor northbound,"-33.87286,151.21769"
Eastern distributor northbound,"-33.8727,151.21771"
Eastern distributor northbound,"-33.87253,151.21771"
Eastern distributor northbound,"-33.87237,151.21772"
Eastern distributor northbound,"-33.87194,151.21778"
Eastern distributor northbound,"-33.87147,151.21789"
Eastern distributor northbound,"-33.87127,151.21795"
Eastern distributor northbound,"-33.8712,151.21797"
Eastern distributor northbound,"-33.87106,151.21802"
Eastern distributor northbound,"-33.87096,151.21811"
Eastern distributor northbound,"-33.87083,151.21815"
Eastern distributor northbound,"-33.87004,151.2184"
Eastern distributor northbound,"-33.8698,151.21844"
Eastern distributor northbound,"-33.86962,151.21845"
Eastern distributor northbound,"-33.86937,151.21845"
Eastern distributor northbound,"-33.86918,151.21841"
Eastern distributor northbound,"-33.86892,151.21833"
Eastern distributor northbound,"-33.86878,151.21829"
Eastern distributor northbound,"-33.86871,151.21825"
Eastern distributor northbound,"-33.86867,151.21823"
Eastern distributor northbound,"-33.86862,151.2182"
Eastern distributor northbound,"-33.86809,151.2179"
Eastern distributor northbound,"-33.86784,151.21771"
Eastern distributor northbound,"-33.86766,151.21751"
Eastern distributor northbound,"-33.86761,151.21745"
Eastern distributor northbound,"-33.86751,151.2173"
Eastern distributor northbound,"-33.86737,151.21708"
Eastern distributor northbound,"-33.8672,151.21675"
Eastern distributor northbound,"-33.86717,151.21666"
Eastern distributor northbound,"-33.86704,151.21627"
Eastern distributor northbound,"-33.86693,151.2159"
Eastern distributor northbound,"-33.8669,151.21582"
